SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,date extracted
WTL,1.37,1.45,1.49,1.36,1.37,-0.06,-4.2,79666803.0,2025-06-01
KEL,5.32,5.53,5.57,5.25,5.32,-0.2,-3.62,47700857.0,2025-06-01
CNERGY,7.86,7.8,8.11,7.8,7.86,0.07,0.9,35756575.0,2025-06-01
DCL,12.07,11.24,12.35,10.99,12.07,0.84,7.48,31365596.0,2025-06-01
PTC,25.4,26.23,27.43,24.91,25.4,-0.83,-3.16,22174138.0,2025-06-01
PIBTL,8.41,8.71,8.81,8.37,8.41,-0.31,-3.55,19941925.0,2025-06-01
FFL,15.86,15.6,16.04,15.51,15.86,0.31,1.99,19847564.0,2025-06-01
PRL,33.67,33.0,34.29,32.81,33.67,0.84,2.56,18646156.0,2025-06-01
SSGC,36.07,36.6,36.99,35.75,36.07,-0.25,-0.69,13166159.0,2025-06-01
KOSM,5.31,5.51,5.59,5.24,5.31,-0.18,-3.28,8825761.0,2025-06-01
ASL,11.53,11.16,11.73,11.1,11.53,0.38,3.41,8099527.0,2025-06-01
BOP,9.95,9.98,10.1,9.89,9.95,0.02,0.2,8023025.0,2025-06-01
BBFL,51.65,54.24,54.48,51.26,51.65,-2.83,-5.19,7184835.0,2025-06-01
PREMA,46.23,47.9,48.2,46.05,46.23,-1.08,-2.28,6716960.0,2025-06-01
TPL,5.14,4.73,5.45,4.65,5.14,0.41,8.67,6569487.0,2025-06-01
TELE,7.91,8.17,8.25,7.83,7.91,-0.24,-2.94,6286183.0,2025-06-01
TREET,19.85,19.75,20.29,19.53,19.85,0.2,1.02,6239595.0,2025-06-01
IBLHL,49.49,51.6,54.24,48.62,49.49,-1.58,-3.09,6168055.0,2025-06-01
HUBC,139.63,138.0,140.35,137.1,139.63,2.2,1.6,5798676.0,2025-06-01
FCCL,46.11,46.6,46.65,46.0,46.11,-0.25,-0.54,5679803.0,2025-06-01
DGKC,160.68,159.98,162.0,158.91,160.68,1.5,0.94,5576922.0,2025-06-01
MLCF,77.83,78.75,79.2,77.4,77.83,-0.41,-0.52,5099419.0,2025-06-01
MACFL,18.57,17.7,19.07,17.36,18.57,1.23,7.09,4695465.0,2025-06-01
MERIT,11.15,10.93,11.55,10.85,11.15,0.32,2.96,4657957.0,2025-06-01
SPEL,45.14,41.1,45.14,41.1,45.14,4.1,9.99,4652787.0,2025-06-01
RPL,17.88,17.02,18.7,17.02,17.88,0.87,5.12,4519799.0,2025-06-01
BML,3.64,3.7,3.84,3.63,3.64,0.0,0.0,4514479.0,2025-06-01
CEPB,30.97,28.95,30.97,28.95,30.97,2.82,10.02,4069836.0,2025-06-01
PAEL,44.03,44.75,44.91,43.92,44.03,-0.56,-1.26,3956813.0,2025-06-01
NRL,264.52,256.8,277.49,253.61,264.52,10.08,3.96,3903331.0,2025-06-01
SEARL,89.01,89.9,91.22,88.5,89.01,-0.02,-0.02,3880760.0,2025-06-01
LOADS,14.44,14.35,14.95,14.16,14.44,0.21,1.48,3491712.0,2025-06-01
PPLXD,166.35,168.26,168.89,166.0,166.35,-1.74,-1.03,3378953.0,2025-06-01
HASCOLNC,9.99,10.04,10.25,9.98,9.99,-0.05,-0.5,3367660.0,2025-06-01
DOL,30.37,32.98,33.14,30.0,30.37,-2.37,-7.24,3360242.0,2025-06-01
BNL,35.23,34.48,35.7,34.2,35.23,0.79,2.29,3336258.0,2025-06-01
CSIL,2.99,3.29,3.29,2.95,2.99,-0.19,-5.97,3196973.0,2025-06-01
DBCINC,6.8,5.7,6.8,5.65,6.8,1.0,17.24,3073359.0,2025-06-01
AVN,49.59,49.0,50.4,48.63,49.59,0.58,1.18,2937884.0,2025-06-01
AKDSL,25.36,26.7,27.3,25.2,25.36,-1.28,-4.81,2907961.0,2025-06-01
GGL,15.21,15.75,15.75,15.15,15.21,-0.23,-1.49,2668120.0,2025-06-01
POWER,13.98,14.0,14.17,13.9,13.98,-0.01,-0.07,2481156.0,2025-06-01
ENGROH,182.26,181.24,183.15,178.9,182.26,1.81,1.0,2473691.0,2025-06-01
SYM,14.9,15.15,15.2,14.85,14.9,-0.01,-0.07,2440241.0,2025-06-01
